,fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_OpeningHours,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt
558,430_5804,0,1,1,0,1,0,0,0,0,0,4,24.0,2.3,56208,12881,0.229166667,23960.91,131753,7786,0.059095429000000005,571.78,346.09,251.82,0,0
559,430_5538,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,222207,44336,0.19952566800000002,23545.41,486499,67099,0.137922175,578.83,320.5,232.63,0,0
560,43_502,0,0,0,0,0,0,0,0,0,1,0,0.0,2.6,70621,16198,0.22936520300000002,21981.92,181657,9027,0.049692552,538.84,306.7,227.49,0,0
561,43_4941,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3,147889,30078,0.203382266,23122.14,341072,24314,0.071287001,568.56,333.51,240.62,0,0
562,43_1861,0,0,0,0,0,0,0,0,0,0,4,20.0,2.1,120364,19556,0.16247382900000001,22664.11,255043,24962,0.097873692,577.54,343.32,232.96,0,0
563,43_1541,1,0,1,0,1,0,0,0,1,1,0,0.0,2.5,33275,7007,0.210578512,21825.87,82781,4056,0.04899675,543.51,304.67,224.35,0,0
564,428_7045,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,262344,53640,0.20446436699999998,23645.17,588826,44348,0.075315968,581.35,326.78,240.55,0,0
565,428_3010,0,0,1,0,0,0,0,1,0,0,4,25.0,2.1,1035071,190856,0.18438928300000001,23598.03,2173924,316984,0.145811905,591.44,324.79,234.18,0,0
566,427_8965,0,0,0,0,0,0,0,0,0,1,5,16.0,2.6,2694,553,0.205270973,20963.17,6935,194,0.027974045,526.61,285.83,213.15,0,0
567,427_5495,0,0,0,0,0,0,0,0,0,0,5,26.0,2.2,41869,5848,0.13967374400000002,20786.62,92317,4220,0.045712057,544.23,334.54,213.62,0,0
568,425_5707,0,1,1,0,1,0,0,0,0,0,4,20.0,2.5,81850,19340,0.236285889,22481.74,208081,10861,0.05219602,547.03,310.19,232.93,0,0
569,425_5372,0,0,0,0,0,0,0,0,0,1,3,28.0,2.2,228508,46317,0.202693122,23904.13,495455,71675,0.144665005,585.31,326.18,237.27,0,0
570,425_2997,0,0,0,0,0,0,0,0,0,1,4,32.0,2.1,1074906,199513,0.185609718,23648.98,2260724,326791,0.14455148,591.98,326.1,235.25,0,0
571,424_2995,0,0,1,0,0,0,0,0,0,0,4,35.0,2.1,1073333,202529,0.18869167399999998,23799.0,2256260,331732,0.14702738199999998,593.7,327.42,236.91,0,0
572,423_5357,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,223983,45529,0.203269891,23889.99,486246,70918,0.14584798599999999,585.08,325.04,236.91,0,0
573,422_5638,0,0,0,0,0,0,0,0,0,0,4,25.0,2.6,20076,3575,0.178073321,19292.55,52572,2030,0.038613711,498.55,292.79,197.1,0,0
574,422_2976,0,0,0,0,0,0,0,0,0,0,4,22.0,2.1,1040970,193587,0.185967895,23690.14,2184825,322164,0.14745528800000002,592.64,325.86,235.25,0,0
575,421_5327,1,0,1,1,1,0,0,0,0,0,5,28.0,2.6,33512,6837,0.204016472,20361.93,88553,3004,0.033923187,505.24,306.29,211.4,0,0
576,420_5627,0,0,0,0,0,0,0,0,0,0,3,16.5,2.1,662330,118821,0.179398487,23334.35,1397412,184613,0.132110645,587.81,323.43,231.99,0,0
577,42_851,1,0,0,0,1,0,0,0,0,0,5,22.0,2.4,74757,16070,0.214963147,22544.46,181384,10432,0.057513342,554.66,315.49,232.34,0,0
578,42_750,0,0,0,0,0,0,0,0,0,0,5,27.0,2.7,26775,5906,0.220578898,20336.6,73430,3088,0.042053657,501.84,298.77,210.76,0,0
579,42_4732,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4,27383,5292,0.193258591,21608.29,66483,3630,0.054600424,535.42,334.3,226.96,0,0
580,42_1220,0,0,0,0,0,0,0,0,0,0,5,15.0,2.6,34758,8158,0.234708556,22202.96,89015,4761,0.053485368,541.27,298.09,227.01,0,0
581,419_8927,0,0,0,0,0,0,0,0,0,1,5,20.0,2.4,61319,13437,0.219132732,22968.62,146547,8448,0.057647035,562.64,314.16,236.0,0,0
582,419_5602,0,0,0,0,0,0,0,0,0,0,5,17.0,2.1,955902,169520,0.177340355,23180.49,2011681,286264,0.14230089199999998,586.23,318.71,228.74,0,0
583,418_5598,0,0,0,0,0,0,0,0,0,0,4,26.0,2.3,29853,4213,0.141124845,20132.99,69919,2956,0.042277493,525.87,321.7,206.23,0,0
584,418_5239,0,0,0,0,0,0,0,0,0,1,0,0.0,2.3,141461,29702,0.20996599800000001,23355.13,320958,39599,0.12337751400000001,568.79,318.76,232.62,0,0
585,416_6889,0,0,0,0,0,0,0,0,0,1,0,0.0,2.3,23825,4746,0.199202518,23371.97,53822,4121,0.076567203,572.18,351.79,244.56,0,0
586,415_8787,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,152365,30946,0.203104387,23837.7,334219,41327,0.123652455,584.34,325.43,237.9,0,0
587,414_5499,0,0,1,0,0,0,0,0,0,0,4,24.0,2.6,34295,8212,0.239451815,21685.32,90842,4331,0.047676185,532.74,301.65,224.86,0,0
588,413_5492,0,1,1,0,1,0,0,0,0,0,5,20.0,2.4,91629,18866,0.205895513,22330.82,221685,13315,0.060062702,550.55,319.19,230.55,0,0
589,412_6850,0,0,0,0,0,0,0,0,0,0,5,23.5,2.4,103583,24557,0.23707558199999998,23330.96,253010,16356,0.06464566599999999,562.41,320.44,241.46,0,0
590,412_5487,0,0,0,0,0,0,0,0,0,0,4,24.0,2.1,730138,136146,0.18646612,23630.65,1534927,231925,0.151098391,590.58,323.17,233.62,0,0
591,410_5477,0,1,1,0,0,0,0,1,0,1,0,0.0,2.1,263153,56227,0.213666574,24861.95,558889,82769,0.148095597,604.12,347.87,253.58,0,0
592,410_2932,0,0,0,0,0,0,0,0,0,0,5,29.5,2.1,940947,165741,0.176142758,23279.07,1962729,295134,0.150369205,589.14,320.47,229.28,0,0
593,41_823,0,0,0,0,0,0,0,0,0,0,5,20.0,2.5,71249,16277,0.22845232899999998,22321.9,178603,9280,0.051958814000000006,544.52,307.81,229.74,0,0
594,41_738,0,0,0,0,0,0,0,0,0,0,5,20.0,2.1,67727,9213,0.13603142,21426.8,143071,7732,0.054043097000000005,559.08,345.99,218.93,0,0
595,41_490,0,1,1,0,0,0,0,0,0,0,4,20.0,2.3,34834,6368,0.182809898,21980.26,81631,4528,0.055469122999999995,547.39,335.46,228.34,0,0
596,41_4656,0,0,0,0,0,0,0,0,0,0,0,0.0,2.5,36526,6312,0.17280841,20654.99,89502,3882,0.043373332,519.61,323.39,214.93,0,0
597,41_1414,0,0,0,0,0,0,0,0,0,0,5,25.0,2.2,161045,36129,0.224341023,24504.75,361199,40069,0.11093330800000001,588.8,338.72,251.3,0,0
598,41_1161,1,0,0,1,1,0,0,0,0,0,5,20.0,2.2,155381,31699,0.204008212,23816.63,341898,41763,0.122150466,583.61,324.96,237.88,0,0
599,408_5131,0,0,0,0,0,0,0,0,0,0,5,21.0,2.6,68745,14593,0.212277257,21392.39,175687,8439,0.048034288,526.43,310.58,222.02,0,0
